frame,time_s,found,x_in,y_in,heading_deg
138,2.3023,1,5.870,21.950,-172.79
139,2.3190,1,6.270,21.990,-172.79
140,2.3357,1,6.695,22.046,-172.80
141,2.3523,1,7.121,22.088,-172.79
142,2.3690,1,7.522,22.129,-172.79
143,2.3857,1,7.936,22.170,-172.79
144,2.4024,1,8.349,22.224,-173.50
145,2.4191,1,8.739,22.251,-172.81
146,2.4358,1,9.141,22.291,-172.81
147,2.4525,1,9.564,22.372,-172.79
148,2.4691,1,9.966,22.412,-172.79
149,2.4858,1,10.381,22.454,-172.79
150,2.5025,1,10.784,22.495,-172.79
151,2.5192,1,11.212,22.538,-172.79
152,2.5359,1,11.614,22.578,-172.79
153,2.5526,1,12.030,22.620,-172.79
154,2.5692,1,12.446,22.662,-172.79
155,2.5859,1,12.863,22.691,-172.74
156,2.6026,1,13.265,22.744,-172.81
157,2.6193,1,13.670,22.772,-172.81
158,2.6360,1,14.112,22.817,-173.51
159,2.6526,1,14.529,22.858,-173.50
160,2.6693,1,14.934,22.887,-173.50
161,2.6860,1,15.325,22.938,-172.79
162,2.7027,1,15.741,22.993,-172.79
163,2.7194,1,16.158,23.035,-172.77
164,2.7361,1,16.590,23.066,-173.50
165,2.7528,1,16.996,23.094,-173.50
166,2.7694,1,17.400,23.147,-172.79
167,2.7861,1,17.817,23.202,-172.79
168,2.8028,1,18.224,23.230,-172.79
169,2.8195,1,18.656,23.261,-173.51
170,2.8362,1,19.063,23.289,-172.83
171,2.8529,1,19.491,23.370,-172.79
172,2.8695,1,19.925,23.388,-173.51
173,2.8862,1,20.333,23.417,-172.83
174,2.9029,1,20.761,23.498,-172.80
175,2.9196,1,21.196,23.516,-173.51
176,2.9363,1,21.603,23.557,-173.51
177,2.9529,1,22.048,23.602,-173.51
178,2.9696,1,22.468,23.644,-173.51
179,2.9863,1,22.887,23.699,-172.12
180,3.0030,1,23.320,23.742,-172.81
181,3.0197,1,23.754,23.786,-172.81
182,3.0364,1,24.163,23.814,-172.13
183,3.0531,1,24.608,23.872,-172.82
184,3.0697,1,25.028,23.927,-172.82
185,3.0864,1,25.488,23.973,-172.82
186,3.1031,1,25.909,24.015,-172.83
187,3.1198,1,26.355,24.073,-173.51
188,3.1365,1,26.791,24.104,-172.83
189,3.1532,1,27.225,24.160,-172.83
190,3.1698,1,27.660,24.204,-172.85
191,3.1865,1,28.107,24.262,-173.51
192,3.2032,1,28.554,24.320,-173.51
193,3.2199,1,28.991,24.351,-173.52
194,3.2366,1,29.412,24.406,-172.82
195,3.2532,1,29.874,24.452,-173.52
196,3.2699,1,30.310,24.496,-172.83
197,3.2866,1,30.757,24.567,-173.51
198,3.3033,1,31.182,24.597,-172.84
199,3.3200,1,31.643,24.656,-173.51
200,3.3367,1,32.094,24.688,-172.85
201,3.3534,1,32.532,24.732,-172.84
202,3.3700,1,33.033,24.783,-172.84
203,3.3867,1,33.574,24.837,-172.82
204,3.4034,0,,,
205,3.4201,1,34.824,24.963,-172.82
206,3.4368,0,,,
207,3.4535,0,,,
208,3.4701,0,,,
209,3.4868,0,,,
210,3.5035,0,,,
