frame,time_s,found,x_in,y_in,heading_deg
306,5.1051,1,24.015,-10.298,-89.10
307,5.1218,1,24.180,-10.276,-87.23
308,5.1385,1,24.331,-10.244,-85.58
309,5.1551,1,24.465,-10.207,-83.90
310,5.1718,1,24.580,-10.174,-82.52
311,5.1885,1,24.687,-10.145,-81.34
312,5.2052,1,24.775,-10.117,-80.11
313,5.2219,1,24.839,-10.097,-79.40
314,5.2386,1,24.896,-10.086,-78.54
315,5.2553,1,24.964,-10.072,-77.87
316,5.2719,1,25.064,-10.048,-76.52
317,5.2886,1,25.193,-10.003,-74.74
318,5.3053,1,25.364,-9.934,-72.49
319,5.3220,1,25.563,-9.835,-69.62
320,5.3387,1,25.784,-9.700,-66.14
321,5.3554,1,26.023,-9.533,-62.36
322,5.3720,1,26.281,-9.320,-57.58
323,5.3887,1,26.543,-9.065,-52.63
324,5.4054,1,26.786,-8.761,-47.33
325,5.4221,1,27.010,-8.437,-42.03
326,5.4388,1,27.205,-8.094,-36.69
327,5.4554,1,27.352,-7.754,-31.74
328,5.4721,1,27.454,-7.436,-26.96
329,5.4888,1,27.511,-7.145,-22.77
330,5.5055,1,27.541,-6.885,-19.20
331,5.5222,1,27.554,-6.642,-16.00
332,5.5389,1,27.556,-6.412,-12.57
333,5.5556,1,27.541,-6.192,-9.60
334,5.5722,1,27.520,-5.998,-6.76
335,5.5889,1,27.489,-5.798,-4.09
336,5.6056,1,27.451,-5.631,-1.55
337,5.6223,1,27.408,-5.474,0.97
338,5.6390,1,27.364,-5.321,3.30
339,5.6557,1,27.304,-5.196,5.37
340,5.6723,1,27.257,-5.077,7.44
341,5.6890,1,27.198,-4.972,9.05
342,5.7057,1,27.142,-4.886,10.55
343,5.7224,1,27.090,-4.818,11.66
344,5.7391,1,27.040,-4.779,12.36
345,5.7557,1,26.975,-4.768,12.67
346,5.7724,1,26.850,-4.787,12.81
347,5.7891,1,26.662,-4.823,12.91
348,5.8058,1,26.404,-4.873,13.14
349,5.8225,1,26.069,-4.955,13.05
350,5.8392,1,25.657,-5.052,13.18
351,5.8559,1,25.171,-5.176,13.06
352,5.8725,1,24.618,-5.313,13.04
353,5.8892,1,24.002,-5.463,13.07
354,5.9059,1,23.320,-5.633,12.86
386,6.4398,1,-8.930,-12.876,13.42
387,6.4565,1,-9.593,-13.064,12.96
388,6.4731,1,-10.168,-13.274,11.97
389,6.4898,1,-10.653,-13.500,10.68
390,6.5065,1,-11.095,-13.739,8.99
391,6.5232,1,-11.466,-14.005,6.72
392,6.5399,1,-11.784,-14.289,4.12
393,6.5566,1,-12.080,-14.607,0.88
394,6.5732,1,-12.343,-14.945,-2.22
395,6.5899,1,-12.561,-15.308,-6.45
396,6.6066,1,-12.775,-15.707,-10.15
397,6.6233,1,-12.968,-16.133,-14.69
398,6.6400,1,-13.150,-16.575,-18.98
399,6.6566,1,-13.343,-17.046,-23.87
400,6.6733,1,-13.549,-17.526,-28.72
401,6.6900,1,-13.786,-18.020,-34.36
402,6.7067,1,-14.041,-18.493,-39.72
403,6.7234,1,-14.331,-18.960,-44.90
404,6.7401,1,-14.645,-19.398,-50.59
405,6.7568,1,-14.980,-19.793,-55.70
406,6.7734,1,-15.347,-20.167,-60.97
407,6.7901,1,-15.714,-20.490,-66.10
408,6.8068,1,-16.070,-20.760,-70.36
409,6.8235,1,-16.387,-20.967,-74.25
410,6.8402,1,-16.679,-21.150,-77.67
411,6.8569,1,-16.967,-21.308,-80.67
412,6.8735,1,-17.239,-21.443,-83.78
413,6.8902,1,-17.506,-21.570,-86.67
414,6.9069,1,-17.743,-21.680,-89.31
415,6.9236,1,-17.983,-21.786,-92.01
416,6.9403,1,-18.194,-21.883,-94.10
417,6.9569,1,-18.384,-21.965,-96.80
418,6.9736,1,-18.565,-22.047,-98.91
427,7.1238,1,-18.820,-21.674,-104.88
428,7.1405,1,-18.741,-21.349,-104.88
429,7.1572,1,-18.640,-20.938,-104.89
430,7.1738,1,-18.515,-20.469,-105.06
431,7.1905,1,-18.372,-19.929,-104.96
