frame,time_s,found,x_in,y_in,heading_deg
314,5.2386,1,-18.120,12.021,131.43
315,5.2553,1,-17.808,11.651,131.50
316,5.2719,1,-17.483,11.281,131.83
317,5.2886,1,-17.167,10.917,131.67
318,5.3053,1,-16.845,10.549,131.85
319,5.3220,1,-16.531,10.183,132.13
320,5.3387,1,-16.206,9.814,132.16
321,5.3554,1,-15.882,9.454,132.24
322,5.3720,1,-15.562,9.085,132.51
323,5.3887,1,-15.238,8.722,132.52
324,5.4054,1,-14.910,8.361,132.51
325,5.4221,1,-14.580,7.998,132.72
326,5.4388,1,-14.254,7.633,132.78
327,5.4554,1,-13.925,7.274,132.93
328,5.4721,1,-13.592,6.908,132.96
329,5.4888,1,-13.263,6.551,133.17
330,5.5055,1,-12.932,6.188,133.21
331,5.5222,1,-12.603,5.828,133.37
332,5.5389,1,-12.269,5.466,133.49
333,5.5556,1,-11.939,5.106,133.53
334,5.5722,1,-11.608,4.745,133.70
335,5.5889,1,-11.275,4.379,133.78
336,5.6056,1,-10.946,4.020,133.86
337,5.6223,1,-10.610,3.661,134.17
338,5.6390,1,-10.277,3.292,134.21
339,5.6557,1,-9.948,2.921,134.55
340,5.6723,1,-9.615,2.538,134.88
341,5.6890,1,-9.293,2.163,135.19
342,5.7057,1,-8.957,1.790,135.70
343,5.7224,1,-8.621,1.418,136.05
344,5.7391,1,-8.299,1.038,136.52
345,5.7557,1,-7.959,0.656,137.01
346,5.7724,1,-7.627,0.272,137.71
347,5.7891,1,-7.298,-0.106,138.26
348,5.8058,1,-6.970,-0.481,138.90
349,5.8225,1,-6.624,-0.861,139.64
350,5.8392,1,-6.288,-1.240,140.47
351,5.8559,1,-5.948,-1.631,141.20
352,5.8725,1,-5.622,-2.027,142.27
353,5.8892,1,-5.303,-2.431,143.63
354,5.9059,1,-4.981,-2.844,145.16
355,5.9226,1,-4.661,-3.263,146.72
356,5.9393,1,-4.336,-3.690,148.49
357,5.9560,1,-4.008,-4.129,150.52
358,5.9726,1,-3.675,-4.565,152.47
359,5.9893,1,-3.340,-5.007,154.59
360,6.0060,1,-2.995,-5.449,156.96
361,6.0227,1,-2.636,-5.896,159.25
362,6.0394,1,-2.270,-6.343,161.59
363,6.0560,1,-1.896,-6.774,163.84
364,6.0727,1,-1.532,-7.201,166.53
365,6.0894,1,-1.158,-7.618,169.03
366,6.1061,1,-0.791,-8.032,171.25
367,6.1228,1,-0.436,-8.437,173.70
368,6.1395,1,-0.080,-8.824,176.16
369,6.1562,1,0.256,-9.215,179.06
370,6.1728,1,0.573,-9.613,-178.14
371,6.1895,1,0.881,-10.000,-175.47
372,6.2062,1,1.183,-10.377,-172.49
373,6.2229,1,1.481,-10.740,-169.83
374,6.2396,1,1.776,-11.102,-167.13
375,6.2563,1,2.061,-11.446,-164.40
376,6.2729,1,2.342,-11.783,-161.57
377,6.2896,1,2.612,-12.098,-159.13
378,6.3063,1,2.877,-12.411,-156.55
379,6.3230,1,3.129,-12.707,-154.12
380,6.3397,1,3.376,-12.998,-151.77
381,6.3563,1,3.623,-13.280,-149.50
382,6.3730,1,3.867,-13.534,-147.14
383,6.3897,1,4.119,-13.782,-144.88
384,6.4064,1,4.371,-14.020,-142.53
385,6.4231,1,4.619,-14.237,-140.32
386,6.4398,1,4.869,-14.451,-137.80
387,6.4565,1,5.123,-14.631,-135.57
388,6.4731,1,5.377,-14.815,-133.07
